id_referencia_some,id_element,client,element,property,pieza,datum
JOYSON_3118675_AB_1207970A, N33.3_Posición,JOYSON, N33.3,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N33.4_Posición,JOYSON, N33.4,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N33.5_Posición,JOYSON, N33.5,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N33.6_Posición,JOYSON, N33.6,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1209394A, N33.2_Posición,JOYSON, N33.2,Posición,1209394A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N23_Posición,JOYSON, N23,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N25_Posición,JOYSON, N25,Posición,1207970A,Sistema global de coordenadas
JOYSON_3127672_AB_11887, N23_Posición,JOYSON, N23,Posición,11887.0,Sistema global de coordenadas
JOYSON_3127672_AB_11887, N25_Posición,JOYSON, N25,Posición,11887.0,Sistema global de coordenadas
JOYSON_3127672_AB_11887, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,11887.0,nan
JOYSON_3127672_AB_11887, N40_Ø,JOYSON, N40,Ø,11887.0,nan
JOYSON_3127672_AB_11887," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1207970A, N36.1_Posición,JOYSON, N36.1,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N36.3_Posición,JOYSON, N36.3,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N36.4_Posición,JOYSON, N36.4,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N36.5_Posición,JOYSON, N36.5,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N30.1 / N40.1_PosiciónØ,JOYSON, N30.1 / N40.1,PosiciónØ,1207970CR,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1207970CR,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1207970CR,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1207970CR,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N23_Posición,JOYSON, N23,Posición,1207970CR,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N25_Posición,JOYSON, N25,Posición,1207970CR,Sistema global de coordenadas
JOYSON_3118675_AB_1207970CR, N38_Ø,JOYSON, N38,Ø,1207970CR,nan
JOYSON_3118675_AB_1207970CR, N39_Ø,JOYSON, N39,Ø,1207970CR,nan
JOYSON_3118675_AB_1207970CR, N40_Ø,JOYSON, N40,Ø,1207970CR,nan
JOYSON_3118675_AB_1207970CR," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1207970CR, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3118675_AB_1207970, N33.2_Posición,JOYSON, N33.2,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.5_Posición,JOYSON, N33.5,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.7_Posición,JOYSON, N33.7,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.8_Posición,JOYSON, N33.8,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.1_Posición,JOYSON, N36.1,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.2_Posición,JOYSON, N36.2,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.3_Posición,JOYSON, N36.3,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.4_Posición,JOYSON, N36.4,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.5_Posición,JOYSON, N36.5,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.6_Posición,JOYSON, N36.6,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.7_Posición,JOYSON, N36.7,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N36.8_Posición,JOYSON, N36.8,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1209394A, N33.3_Posición,JOYSON, N33.3,Posición,1209394A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.1_Posición,JOYSON, N33.1,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.3_Posición,JOYSON, N33.3,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.4_Posición,JOYSON, N33.4,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N33.6_Posición,JOYSON, N33.6,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N23_Posición,JOYSON, N23,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N25_Posición,JOYSON, N25,Posición,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970, N38_Ø,JOYSON, N38,Ø,1207970.0,nan
JOYSON_3118675_AB_1207970, N39_Ø,JOYSON, N39,Ø,1207970.0,nan
JOYSON_3118675_AB_1207970, N40_Ø,JOYSON, N40,Ø,1207970.0,nan
JOYSON_3118675_AB_1207970," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1207970, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3118675_AB_1207970, N30.1 / N40.1_PosiciónØ,JOYSON, N30.1 / N40.1,PosiciónØ,1207970.0,Sistema global de coordenadas
JOYSON_3118675_AB_1208266A, N33.1_Posición,JOYSON, N33.1,Posición,1208266A,Sistema global de coordenadas
JOYSON_3118675_AB_1208266A, N33.2_Posición,JOYSON, N33.2,Posición,1208266A,Sistema global de coordenadas
JOYSON_3118675_AB_1208266A, N33.3_Posición,JOYSON, N33.3,Posición,1208266A,Sistema global de coordenadas
